Name,date,MMSI,CallSign,ImoNumber ,Destination,Eta mois,Eta day,Eta hour,Eta minutes,Type of vessel,DimensionA,DimensionB,DimensionC,DimensionD
SELINUNTE JET       ,2023-03-24 08:14:58.611027+00:00,247042400,IYZP   ,9152052,ITMSN/ITVSG/ITMSN   ,3,24,10,20,40,20,30,5,5
AQS TOR,2023-03-24 08:14:58.612615+00:00,258013510,LGCY,0,CH16,3,21,12,34,70,3,20,6,6
FRUHOLMEN           ,2023-03-24 08:14:58.613081+00:00,258503000,LLWF,0,,0,0,0,0,30,19,6,3,3
GAVRINIS,2023-03-24 08:14:58.615810+00:00,227820970,FAE8695,0,,0,0,0,0,33,12,13,3,5
GAVRINIS,2023-03-24 08:14:58.643932+00:00,227820970,FAE8695,0,,0,0,0,0,33,12,13,3,5
BOW HERCULES        ,2023-03-24 08:14:58.647015+00:00,257370000,LAXU5  ,9752046,STR                 ,3,21,23,0,82,150,33,9,23
MS MARBACH ,2023-03-24 08:14:58.651979+00:00,211628530,DA5087,0,,1,1,12,0,99,0,0,0,0
BLUE SKY III,2023-03-24 08:14:58.653843+00:00,352001927,HOA5339,6705949,STOKKSUND,12,13,13,0,99,25,30,3,10
GOUDVIS,2023-03-24 08:14:58.698475+00:00,205454090,OT4540,0,ANTWERPEN,3,19,13,0,79,132,3,8,10
GAZELA,2023-03-24 08:14:58.700254+00:00,212878000,5BYC3,9525572,PTLIS,3,9,15,0,89,84,25,8,8
ST.PAULI            ,2023-03-24 08:14:58.702806+00:00,563020300,9V3700 ,9790373,SN DKR              ,4,1,12,0,80,148,35,7,25
GAZELA,2023-03-24 08:14:58.722734+00:00,212878000,5BYC3,9525572,PTLIS,3,9,15,0,89,84,25,8,8
GOUDVIS,2023-03-24 08:14:58.724669+00:00,205454090,OT4540,0,ANTWERPEN,3,19,13,0,79,132,3,8,10
CORAL ALAMEDA       ,2023-03-24 08:14:58.725526+00:00,565183000,9V8458 ,9240158,ANTWERP             ,3,23,21,30,80,110,15,10,10
REBBECCA RAYMOND ,2023-03-24 08:14:58.735680+00:00,368258140,WDN2028,0,,0,0,24,60,31,15,5,5,5
VIRGINIA            ,2023-03-24 08:14:58.750718+00:00,366939110,WCW4062,0,US^0RTQ>0HV5        ,3,21,6,4,52,8,13,4,6
RHEINCARGO,2023-03-24 08:14:58.756351+00:00,211360810,DBVR,0,,0,0,24,60,69,8,25,5,5
GAZELA,2023-03-24 08:14:58.808801+00:00,212878000,5BYC3,9525572,PTLIS,0,0,0,0,89,25,84,8,8
ORANGE WAVE         ,2023-03-24 08:14:58.846388+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
VISURA              ,2023-03-24 08:14:58.848410+00:00,211172020,DF4368 ,0,DEBRE               ,2,3,17,0,55,10,6,3,2
ORANGE WAVE         ,2023-03-24 08:14:58.849003+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
ORANGE WAVE         ,2023-03-24 08:14:58.849978+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
ORANGE WAVE         ,2023-03-24 08:14:58.852191+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
ORANGE WAVE         ,2023-03-24 08:14:58.855455+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
ORANGE WAVE         ,2023-03-24 08:14:58.857528+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
ORANGE WAVE         ,2023-03-24 08:14:58.858395+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
ORANGE WAVE         ,2023-03-24 08:14:58.905289+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
CANTABRICO TRES ,2023-03-24 08:14:58.906014+00:00,224162930,EAQF,9362671, VIGO,1,1,0,0,30,9,26,1,7
DIONE STAR          ,2023-03-24 08:14:58.954111+00:00,255912960,CRA7129,9017692,BEAULIEU            ,9,20,13,0,37,25,17,3,3
PRS.INGRID ALEXANDRA,2023-03-24 08:14:59.007130+00:00,259016200,LGXD   ,9941477,BERGEN              ,2,16,20,0,90,8,27,5,5
GAVRINIS,2023-03-24 08:14:59.009636+00:00,227820970,FAE8695,0,,0,0,0,0,33,12,13,3,5
HENDRIK-KLAAS,2023-03-24 08:14:59.055886+00:00,244900117,PD2677,0,URK -JVS,0,0,0,0,99,22,0,0,7
SD ADEPT ,2023-03-24 08:14:59.063697+00:00,232002648,GZAW,7902324,WORKING IN PLY.PORT,1,1,0,0,52,0,0,0,0
CONDOR LIBERATION   ,2023-03-24 08:14:59.146119+00:00,311037300,C6YL4  ,9551363,POOLE               ,3,20,20,45,40,54,48,10,16
RUSADIR,2023-03-24 08:14:59.149913+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:14:59.150846+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:14:59.151615+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
DIAMOND             ,2023-03-24 08:14:59.153495+00:00,319002100,ZCYF7  ,1006013,PALMA DE MALLORCA   ,3,17,16,0,37,19,38,5,5
BIG EASY            ,2023-03-24 08:14:59.168871+00:00,319715000,ZCGU9  ,1007249,NASSAU              ,0,0,16,0,37,25,20,2,6
STENA SCANDICA,2023-03-24 08:14:59.174998+00:00,219029263,OZNO2,9329849,VNT-->NYN-->VNT,3,25,4,0,60,35,187,2,24
BROEDERTROUW 2,2023-03-24 08:14:59.178814+00:00,244660216,PG7286,0,,0,0,0,0,99,70,16,7,9
ORANGE WAVE         ,2023-03-24 08:14:59.223897+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
SHANDONG  ZIHE,2023-03-24 08:14:59.225717+00:00,477669300,VRPT8,9261657,GRSKG,3,24,9,0,89,160,15,11,20
BROEDERTROUW 2,2023-03-24 08:14:59.229570+00:00,244660216,PG7286,0,,0,0,0,0,99,70,16,7,9
SCHIE               ,2023-03-24 08:14:59.232559+00:00,244070620,PD2799 ,0,DORDRECHT:HOOIKADE,4,17,21,15,69,11,20,3,4
TUNDRALAND,2023-03-24 08:14:59.288512+00:00,266247000,SKHZ,9343273,BEZEE,3,24,5,0,71,23,167,13,13
MOONSHADOW,2023-03-24 08:14:59.292302+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
RED FALCON          ,2023-03-24 08:14:59.331792+00:00,235014365,MSJF3  ,9064047,SOUTHAMPTON         ,12,24,22,0,69,46,48,10,8
X-PRESS ELBE,2023-03-24 08:14:59.335949+00:00,212018000,5BZH2,9483669,NLRTM,3,28,9,0,71,140,11,12,10
X-PRESS ELBE,2023-03-24 08:14:59.336472+00:00,212018000,5BZH2,9483669,NLRTM,3,28,9,0,71,140,11,12,10
DIAMOND             ,2023-03-24 08:14:59.339170+00:00,319002100,ZCYF7  ,1006013,PALMA DE MALLORCA   ,3,17,16,0,37,19,38,5,5
ZILVERMEEUW 6,2023-03-24 08:14:59.374704+00:00,244710313,PB4474,0,DRIMMELEN,2,24,12,0,69,12,18,5,1
RUIGT,2023-03-24 08:14:59.377505+00:00,244195688,PA6812,0,NLGOR00104CITYX00228,0,0,0,0,33,42,8,7,3
HOOP DOET LEVEN     ,2023-03-24 08:14:59.381327+00:00,244670420,PC2473 ,0,STAVOREN            ,4,16,15,10,60,28,0,1,4
COURAGE,2023-03-24 08:14:59.384204+00:00,253469000,LX2523,0,,0,0,0,0,80,76,17,3,8
GERDA,2023-03-24 08:14:59.386342+00:00,257206000,LATH7,9279410,FI LOV,3,22,18,0,80,70,12,6,6
TUNDRALAND,2023-03-24 08:14:59.390732+00:00,266247000,SKHZ,9343273,BEZEE,3,24,5,0,71,23,167,13,13
AXIS                ,2023-03-24 08:14:59.418194+00:00,339563000,6YTA2  ,9779070,DANIA CUT           ,1,23,20,0,37,15,38,3,6
ITOITZ,2023-03-24 08:14:59.453342+00:00,224074730,EA6471,8799803,,0,0,24,60,30,15,9,3,2
MPOSS,2023-03-24 08:14:59.482913+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
ANDIAMO,2023-03-24 08:14:59.492227+00:00,319119800,ZGGV,9784843,FR CEQ,1,10,7,0,37,25,24,5,4
ANNASTAR            ,2023-03-24 08:14:59.554352+00:00,319155000,ZGCC8  ,9620190,,0,0,24,60,90,25,25,8,1
PRS.INGRID ALEXANDRA,2023-03-24 08:14:59.557314+00:00,259016200,LGXD   ,9941477,BERGEN              ,2,16,20,0,90,8,27,5,5
PRS.INGRID ALEXANDRA,2023-03-24 08:14:59.588709+00:00,259016200,LGXD   ,9941477,BERGEN              ,2,16,20,0,90,8,27,5,5
PRS.INGRID ALEXANDRA,2023-03-24 08:14:59.595533+00:00,259016200,LGXD   ,9941477,BERGEN              ,2,16,20,0,90,8,27,5,5
SPRING MELODY       ,2023-03-24 08:14:59.624454+00:00,477271800,VRNH8  ,9666053,US HOU              ,4,12,18,0,70,171,29,12,20
TRINITY             ,2023-03-24 08:14:59.626291+00:00,368018190,WDJ8617,0,US^0SHG>TAMPA       ,0,0,24,60,52,17,15,7,7
ASGARD,2023-03-24 08:14:59.628188+00:00,378389000,ZJL9270,0,CAPE TOWN,0,0,24,60,36,0,0,0,0
ORANGE WAVE         ,2023-03-24 08:14:59.631035+00:00,636009894,ELPX7  ,9057123,NLRTM               ,3,13,6,0,70,112,45,12,14
RUIGT,2023-03-24 08:14:59.632325+00:00,244195688,PA6812,0,NLGOR00104CITYX00228,0,0,0,0,33,42,8,7,3
HYUNDAI PEACEPIA    ,2023-03-24 08:14:59.634453+00:00,374816000,3EOW7  ,9761853,PABLB>USSAB         ,3,30,11,0,84,244,51,24,22
ETC NEFERTARI       ,2023-03-24 08:14:59.659561+00:00,636015007,A8YA5  ,9399612,GENOA               ,3,22,23,30,80,153,36,24,8
ALVFRIDA,2023-03-24 08:14:59.665240+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ALVFRIDA,2023-03-24 08:14:59.679802+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ALVFRIDA,2023-03-24 08:14:59.680916+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ISLAND CENTURION    ,2023-03-24 08:14:59.684002+00:00,257025000,3YHG   ,9579470,ESBJERG             ,3,18,9,0,73,16,79,9,11
ALVFRIDA,2023-03-24 08:14:59.685131+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ST.PAULI            ,2023-03-24 08:14:59.688038+00:00,563020300,9V3700 ,9790373,SN DKR              ,4,1,12,0,80,148,35,7,25
ALVFRIDA,2023-03-24 08:14:59.694829+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ALVFRIDA,2023-03-24 08:14:59.696000+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ALVFRIDA,2023-03-24 08:14:59.745165+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ALVFRIDA,2023-03-24 08:14:59.745949+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
RUSADIR,2023-03-24 08:14:59.833445+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:14:59.834374+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
HOOP DOET LEVEN     ,2023-03-24 08:14:59.837855+00:00,244670420,PC2473 ,0,STAVOREN            ,4,16,15,10,60,28,0,1,4
RUSADIR,2023-03-24 08:14:59.838379+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
LH PILOT ST CECILE,2023-03-24 08:14:59.840990+00:00,227752910,FGF7634,0,LE HAVRE,0,0,24,60,50,10,5,2,3
LH PILOT ST CECILE,2023-03-24 08:14:59.841489+00:00,227752910,FGF7634,0,LE HAVRE,0,0,24,60,50,10,5,2,3
RUSADIR,2023-03-24 08:14:59.885295+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
IMAGO,2023-03-24 08:14:59.887475+00:00,244750413,PG6123,0,EUROPA,4,14,9,50,79,70,10,3,6
MYGAN               ,2023-03-24 08:14:59.907371+00:00,314459000,8PAP3  ,9108489,ILASH               ,3,10,13,0,70,86,14,7,8
AURORA,2023-03-24 08:14:59.994386+00:00,310556000,ZCDW9,9169524,NOSVG > GBSOU,3,24,3,30,69,56,216,16,16
AS CAMELLIA,2023-03-24 08:14:59.995111+00:00,255806121,CQAA7,9314947,EGALY,3,25,9,0,73,177,46,21,9
CHALLENGE,2023-03-24 08:15:00.001137+00:00,244690348,PF3865,0,ROERMOND,1,3,11,38,33,44,7,3,6
ALV VIRA,2023-03-24 08:15:00.006286+00:00,265571320,SJAC,8962929,,0,0,24,60,60,14,14,7,1
ALV VIRA,2023-03-24 08:15:00.007218+00:00,265571320,SJAC,8962929,,0,0,24,60,60,14,14,7,1
ALV VIRA,2023-03-24 08:15:00.008012+00:00,265571320,SJAC,8962929,,0,0,24,60,60,14,14,7,1
ALV VIRA,2023-03-24 08:15:00.043066+00:00,265571320,SJAC,8962929,,0,0,24,60,60,14,14,7,1
ALVFRIDA,2023-03-24 08:15:00.053637+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ALVFRIDA,2023-03-24 08:15:00.054108+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
MEDIALLY         ,2023-03-24 08:15:00.078878+00:00,215955000,,0,GOLFE JUAN     ,3,21,12,0,99,46,20,5,4
ALV VIRA,2023-03-24 08:15:00.080602+00:00,265571320,SJAC,8962929,,0,0,24,60,60,14,14,7,1
ALV VIRA,2023-03-24 08:15:00.081237+00:00,265571320,SJAC,8962929,,0,0,24,60,60,14,14,7,1
X-PRESS ELBE,2023-03-24 08:15:00.102195+00:00,212018000,5BZH2,9483669,NLRTM,3,28,9,0,71,140,11,12,10
X-PRESS ELBE,2023-03-24 08:15:00.103160+00:00,212018000,5BZH2,9483669,NLRTM,3,28,9,0,71,140,11,12,10
NOORDERLICHT        ,2023-03-24 08:15:00.214457+00:00,244750087,PH3360 ,0,,0,0,24,60,66,44,2,3,3
FIRMAMENT ACE       ,2023-03-24 08:15:00.258226+00:00,431585000,7KKF   ,9293894,BEZEE               ,3,26,13,0,70,22,178,21,11
KATHARINA BURMESTER,2023-03-24 08:15:00.258948+00:00,211252860,DD5399,0,BREMEN,1,7,16,45,80,86,0,10,0
STENA VISION        ,2023-03-24 08:15:00.262931+00:00,210231000,5BUE5  ,7907659,PLGDY-SEKAA-PLGDY   ,3,24,8,45,60,19,157,8,22
STENA VISION        ,2023-03-24 08:15:00.263557+00:00,210231000,5BUE5  ,7907659,PLGDY-SEKAA-PLGDY   ,3,24,8,45,60,19,157,8,22
STENA VISION        ,2023-03-24 08:15:00.292273+00:00,210231000,5BUE5  ,7907659,PLGDY-SEKAA-PLGDY   ,3,24,8,45,60,19,157,8,22
NORDLAND IV,2023-03-24 08:15:00.322948+00:00,211215280,DB2502,0,HAMBURG,0,0,0,0,79,72,13,2,7
NORDLAND IV,2023-03-24 08:15:00.352148+00:00,211215280,DB2502,0,HAMBURG,0,0,0,0,79,72,13,2,7
NORDLAND IV,2023-03-24 08:15:00.352921+00:00,211215280,DB2502,0,HAMBURG,0,0,0,0,79,72,13,2,7
NORDLAND IV,2023-03-24 08:15:00.356817+00:00,211215280,DB2502,0,HAMBURG,0,0,0,0,79,72,13,2,7
LANCHA MANTA        ,2023-03-24 08:15:00.362999+00:00,356321000,LAU)MAN,0,                    ,0,0,24,60,50,6,10,3,2
NAVIGATOR PLUTO     ,2023-03-24 08:15:00.363424+00:00,636021103,5LCH5  ,9177571,"HOUSTON, USA        ",3,29,23,0,80,139,31,17,7
X-PRESS ELBE,2023-03-24 08:15:00.431609+00:00,212018000,5BZH2,9483669,NLRTM,3,28,9,0,71,140,11,12,10
NEPTUN 44,2023-03-24 08:15:00.463446+00:00,244700145,PD8598,0,,0,0,24,60,99,18,5,2,3
STENA HOLLANDICA,2023-03-24 08:15:00.464581+00:00,244758000,PBMM,9419163,NL HVH / GB HAR  VV ,3,24,7,0,61,27,213,16,16
LH PILOT ST CECILE,2023-03-24 08:15:00.466099+00:00,227752910,FGF7634,0,LE HAVRE,0,0,24,60,50,10,5,2,3
VETTOEY,2023-03-24 08:15:00.502665+00:00,257096150,LH3287,0,FISHFARMS,7,31,19,30,70,5,10,4,6
NEPTUN 44,2023-03-24 08:15:00.504004+00:00,244700145,PD8598,0,,0,0,24,60,99,18,5,2,3
MOONSHADOW,2023-03-24 08:15:00.575228+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
UK45 JACOB WILLEMINA,2023-03-24 08:15:00.609291+00:00,244299000,PDCV   ,8701399,HARLINGEN           ,8,28,1,0,30,24,16,3,5
RUSADIR,2023-03-24 08:15:00.609571+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:15:00.610019+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
UK45 JACOB WILLEMINA,2023-03-24 08:15:00.638643+00:00,244299000,PDCV   ,8701399,HARLINGEN           ,8,28,1,0,30,24,16,3,5
TOENNE              ,2023-03-24 08:15:00.670950+00:00,219798000,OUIH   ,8813013,THORSMINDE          ,12,31,23,59,99,0,0,0,0
WON3 VERTROUWEN     ,2023-03-24 08:15:00.695648+00:00,244780677,PA3445 ,0,HARLINGEN           ,0,0,24,60,30,19,5,3,3
OYVAG,2023-03-24 08:15:00.700697+00:00,259124000,LNXN ,5255129,TLF 47829210,11,1,12,0,52,8,20,3,4
FROY FINNMARK       ,2023-03-24 08:15:00.701287+00:00,257059140,LFNG   ,9857327,DONNESFJORD         ,3,21,12,34,33,5,20,4,6
OKSOY,2023-03-24 08:15:00.702831+00:00,257137700,LMJD,0,BREVIK FJORDEN,0,0,24,60,60,11,10,6,1
VIKABAS             ,2023-03-24 08:15:00.703850+00:00,257042270,LERK   ,9820025,FISH FARMS          ,0,0,0,0,70,5,14,4,4
WILSON SUND         ,2023-03-24 08:15:00.707811+00:00,257077550,LAIK8  ,8918473,ESLCG>>NOMQN        ,3,24,10,0,79,99,14,6,9
HARVEST             ,2023-03-24 08:15:00.708220+00:00,257437000,LDKY   ,9669750,CH16 FOR INFO       ,0,0,24,60,30,36,31,6,9
PRESTFJORD          ,2023-03-24 08:15:00.709080+00:00,257153500,3YHX   ,9584566,HAREID              ,0,0,24,60,30,16,49,8,7
RO FJORD            ,2023-03-24 08:15:00.723445+00:00,257430000,LFEI   ,9544542,CH 16 96629744      ,3,21,12,34,70,50,22,8,7
VETTOEY,2023-03-24 08:15:00.727064+00:00,257096150,LH3287,0,FISHFARMS,7,31,19,30,70,5,10,4,6
KJELLA,2023-03-24 08:15:00.731026+00:00,257049700,JXMW,8615277,SKEI-GUTVIK,3,27,20,23,59,26,29,6,6
FROY FINNMARK       ,2023-03-24 08:15:00.733067+00:00,257059140,LFNG   ,9857327,DONNESFJORD         ,3,21,12,34,33,5,20,4,6
OKSOY,2023-03-24 08:15:00.733744+00:00,257137700,LMJD,0,BREVIK FJORDEN,0,0,24,60,60,11,10,6,1
VIKABAS             ,2023-03-24 08:15:00.733960+00:00,257042270,LERK   ,9820025,FISH FARMS          ,0,0,0,0,70,5,14,4,4
WILSON SUND         ,2023-03-24 08:15:00.736282+00:00,257077550,LAIK8  ,8918473,ESLCG>>NOMQN        ,3,24,10,0,79,99,14,6,9
WON3 VERTROUWEN     ,2023-03-24 08:15:00.737103+00:00,244780677,PA3445 ,0,HARLINGEN           ,0,0,24,60,30,19,5,3,3
HARVEST             ,2023-03-24 08:15:00.737836+00:00,257437000,LDKY   ,9669750,CH16 FOR INFO       ,0,0,24,60,30,36,31,6,9
PRESTFJORD          ,2023-03-24 08:15:00.738984+00:00,257153500,3YHX   ,9584566,HAREID              ,0,0,24,60,30,16,49,8,7
VETTOEY,2023-03-24 08:15:00.739818+00:00,257096150,LH3287,0,FISHFARMS,7,31,19,30,70,5,10,4,6
FROY FINNMARK       ,2023-03-24 08:15:00.740309+00:00,257059140,LFNG   ,9857327,DONNESFJORD         ,3,21,12,34,33,5,20,4,6
KJELLA,2023-03-24 08:15:00.740757+00:00,257049700,JXMW,8615277,SKEI-GUTVIK,3,27,20,23,59,26,29,6,6
OKSOY,2023-03-24 08:15:00.764554+00:00,257137700,LMJD,0,BREVIK FJORDEN,0,0,24,60,60,11,10,6,1
VIKABAS             ,2023-03-24 08:15:00.765149+00:00,257042270,LERK   ,9820025,FISH FARMS          ,0,0,0,0,70,5,14,4,4
WILSON SUND         ,2023-03-24 08:15:00.765491+00:00,257077550,LAIK8  ,8918473,ESLCG>>NOMQN        ,3,24,10,0,79,99,14,6,9
HARVEST             ,2023-03-24 08:15:00.766316+00:00,257437000,LDKY   ,9669750,CH16 FOR INFO       ,0,0,24,60,30,36,31,6,9
PRESTFJORD          ,2023-03-24 08:15:00.766631+00:00,257153500,3YHX   ,9584566,HAREID              ,0,0,24,60,30,16,49,8,7
VETTOEY,2023-03-24 08:15:00.767439+00:00,257096150,LH3287,0,FISHFARMS,7,31,19,30,70,5,10,4,6
KJELLA,2023-03-24 08:15:00.781888+00:00,257049700,JXMW,8615277,SKEI-GUTVIK,3,27,20,23,59,26,29,6,6
FERMITA             ,2023-03-24 08:15:00.800013+00:00,257620000,LAKO8  ,9881380,FR URO              ,3,21,15,30,70,178,21,12,20
LAGO DI COMO,2023-03-24 08:15:00.800725+00:00,352001943,HOA5357,9674361,TUAPSE,3,27,6,0,70,150,30,8,22
ALGOMA EQUINOX      ,2023-03-24 08:15:00.806685+00:00,316009090,XJBH   ,9613927,THUNDER BAY         ,3,30,3,0,70,204,20,10,14
SIRIUS              ,2023-03-24 08:15:00.856373+00:00,205737000,ORCB   ,9797618,OOSTENDE            ,3,23,18,0,90,21,24,8,4
MILANO,2023-03-24 08:15:00.857549+00:00,205553390,OT5533,0,AMSTERDAM JAN VAN R,3,14,22,57,90,124,11,9,9
SVITZER KILROOM     ,2023-03-24 08:15:00.858204+00:00,235066353,2BIF8  ,9440904,MILFORD HAVEN       ,8,5,0,0,52,17,22,8,6
MILANO,2023-03-24 08:15:00.880569+00:00,205553390,OT5533,0,AMSTERDAM JAN VAN R,3,14,22,57,90,124,11,9,9
BAYESIAN            ,2023-03-24 08:15:00.889945+00:00,235108471,2ICB8  ,9503392,PMI SEATRIALS       ,3,23,16,0,36,23,33,3,8
SUEZMAX,2023-03-24 08:15:00.908410+00:00,244660401,PB4667,0,AMSTERDAM HORNHAVEN,3,24,5,37,99,121,14,6,6
STRATEGIC EQUITY    ,2023-03-24 08:15:00.909158+00:00,565286000,9V2290 ,9689902,IL ASH              ,3,21,3,30,70,160,20,14,16
MOONSHADOW,2023-03-24 08:15:00.914696+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
TOPAS               ,2023-03-24 08:15:00.916547+00:00,257445000,LHRX   ,9577666,TLF 99422945,0,0,24,60,30,20,14,4,5
BAYESIAN            ,2023-03-24 08:15:00.989530+00:00,235108471,2ICB8  ,9503392,PMI SEATRIALS       ,3,23,16,0,36,23,33,3,8
LENA MARIE,2023-03-24 08:15:01.033649+00:00,211163700,DJ2051,0,DEHAM03951DOCKX00001,3,9,14,30,80,100,0,12,0
TERENEZ             ,2023-03-24 08:15:01.142515+00:00,227635210,FGE4002,0,,0,0,24,60,60,10,26,4,4
TERENEZ             ,2023-03-24 08:15:01.145378+00:00,227635210,FGE4002,0,,0,0,24,60,60,10,26,4,4
CASTOR 02,2023-03-24 08:15:01.158828+00:00,227011100,FW 8036,7024524,TOULON,3,17,13,0,99,6,39,5,6
VIKING ENERGY       ,2023-03-24 08:15:01.215480+00:00,232020323,MEPW5  ,9868510,NLRTM               ,3,22,7,0,52,13,13,4,8
LH PILOT ST CECILE,2023-03-24 08:15:01.237641+00:00,227752910,FGF7634,0,LE HAVRE,0,0,24,60,50,10,5,2,3
ALVFRIDA,2023-03-24 08:15:01.248963+00:00,265739650,SKYW,0,,0,0,0,0,69,16,18,4,4
ZP BEAR             ,2023-03-24 08:15:01.268725+00:00,229975000,9HB3994,9701982,HAMBURG             ,3,24,2,0,52,10,14,6,6
ZP BEAR             ,2023-03-24 08:15:01.269497+00:00,229975000,9HB3994,9701982,HAMBURG             ,3,24,2,0,52,10,14,6,6
PILOT L148          ,2023-03-24 08:15:01.270259+00:00,230045250,OH2244 ,0,,0,0,24,60,50,11,5,2,3
WILHELMINA          ,2023-03-24 08:15:01.272467+00:00,244690092,PG7264 ,0,,0,0,24,60,60,29,0,3,3
ANTEROS,2023-03-24 08:15:01.306539+00:00,244670775,PH9234,0,,0,0,0,0,79,12,68,4,5
ZP BEAR             ,2023-03-24 08:15:01.308616+00:00,229975000,9HB3994,9701982,HAMBURG             ,3,24,2,0,52,10,14,6,6
WILHELMINA          ,2023-03-24 08:15:01.309138+00:00,244690092,PG7264 ,0,,0,0,24,60,60,29,0,3,3
ANTEROS,2023-03-24 08:15:01.311265+00:00,244670775,PH9234,0,,0,0,0,0,79,12,68,4,5
SERVICE 5,2023-03-24 08:15:01.313647+00:00,244670183,PG7795,0,TOLKAMER,0,0,0,39,99,19,4,3,1
ANTEROS,2023-03-24 08:15:01.314625+00:00,244670775,PH9234,0,,0,0,0,0,79,12,68,4,5
PENELOPE T          ,2023-03-24 08:15:01.445027+00:00,636014817,A8WS5  ,9571416,GB BEL              ,3,21,21,0,70,152,29,7,23
SECRET LOVE,2023-03-24 08:15:01.472952+00:00,538080088,V7XB7,1003762,GOLFE JUAN,2,16,16,0,37,19,18,4,4
RIVER GOVERNESS,2023-03-24 08:15:01.535022+00:00,211457570,DJ3487,0,LELYSTADT,1,23,11,0,69,25,85,7,5
DAME VAN AMSTEL,2023-03-24 08:15:01.573777+00:00,244710543,PD4040,0,ZAANDAM,0,0,24,60,69,2,18,0,4
STRELETS,2023-03-24 08:15:01.581847+00:00,273312270,UDHM,9158197,FISHING GROUND ,12,16,23,0,99,20,37,6,7
TOPAS               ,2023-03-24 08:15:01.582950+00:00,257445000,LHRX   ,9577666,TLF 99422945,0,0,24,60,30,20,14,4,5
MAI LEHMANN         ,2023-03-24 08:15:01.585599+00:00,305804000,V2FU9  ,9196175,MO I RANA           ,3,22,11,0,70,77,13,7,7
SEIBRIS             ,2023-03-24 08:15:01.586242+00:00,257121000,LLTI   ,8962187,TLF:91762672        ,10,22,9,0,70,7,17,3,3
SEIBRIS             ,2023-03-24 08:15:01.586889+00:00,257121000,LLTI   ,8962187,TLF:91762672        ,10,22,9,0,70,7,17,3,3
SEIBRIS             ,2023-03-24 08:15:01.608097+00:00,257121000,LLTI   ,8962187,TLF:91762672        ,10,22,9,0,70,7,17,3,3
SEIBRIS             ,2023-03-24 08:15:01.608665+00:00,257121000,LLTI   ,8962187,TLF:91762672        ,10,22,9,0,70,7,17,3,3
COASTAL LIBERTY     ,2023-03-24 08:15:01.610089+00:00,246852000,PCNO   ,9186077,CUX-MPA-CUX         ,1,19,0,0,70,5,35,9,1
STRELETS,2023-03-24 08:15:01.611137+00:00,273312270,UDHM,9158197,FISHING GROUND ,12,16,23,0,99,20,37,6,7
TOPAS               ,2023-03-24 08:15:01.613689+00:00,257445000,LHRX   ,9577666,TLF 99422945,0,0,24,60,30,20,14,4,5
